N:,Time:,Error:
16,2.564907,0.00342199
32,0.712872,0.000731873
64,2.562046,0.000166937
128,4.590034,3.97006e-05
256,11.515141,9.66927e-06
512,53.233147,2.38524e-06
1024,237.878799,5.92294e-07
2048,1055.391073,1.47571e-07
4096,4636.981964,3.683e-08
8192,20384.308100,9.19964e-09
16384,88729.954958,2.29893e-09
