N:,Time:,Error:
16,1.671076,0.00342199
32,3.129005,0.000731873
64,2.769947,0.000166937
128,2.801895,3.97006e-05
256,11.893034,9.66927e-06
512,51.981926,2.38524e-06
1024,234.152079,5.92294e-07
2048,1050.226927,1.47571e-07
4096,4630.480051,3.683e-08
8192,20344.254017,9.19964e-09
16384,88675.804853,2.29893e-09
