N:,Time:,Error:
16,4.909992,0.00342199
32,2.304077,0.000731873
64,0.817060,0.000166937
128,4.980803,3.97006e-05
256,18.090963,9.66927e-06
512,53.673983,2.38524e-06
1024,238.702059,5.92294e-07
2048,1051.985025,1.47571e-07
4096,4610.677958,3.683e-08
8192,20321.177006,9.19964e-09
16384,88576.410055,2.29893e-09
