N:,Time:,Error:
16,4.651785,0.0041657
32,0.574112,0.000925779
64,0.885963,0.000216313
128,5.226851,5.21499e-05
256,15.660048,1.27943e-05
512,70.948124,3.16806e-06
1024,309.454918,7.88193e-07
2048,1390.443087,1.9657e-07
4096,6120.175123,4.90827e-08
8192,27081.032991,1.22632e-08
16384,117957.971811,3.06486e-09

