N:,Time:,Error:
16,1.655102,0.00565282
32,0.581980,0.00131357
64,1.312017,0.000315062
128,5.188942,7.70483e-05
256,24.638176,1.90444e-05
512,107.824087,4.73371e-06
1024,455.455065,1.17999e-06
2048,2059.808016,2.94568e-07
4096,9126.093864,7.35881e-08
8192,40324.998856,1.83903e-08
16384,176595.227003,4.59673e-09

